ID-MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{12}		ZANG, J. W.	Biogas ? um multitalento. De resíduos para energia e materiais	2018	A política nacional de Biocombustíveis: os impactos do RenovaBio.. (Conferencia)		
{12}		ZANG, J. W.; MARTINS, K. F.; DA FONSECA-ZANG, W. A.	ICEER 2018	2018	5th International Conference on Energy and Environment Research - ICEER 2018. (Congresso)		
{7}		ANTONIO, D. L. A.; PACHECO, G. M. F. G.; SA, F. P.; CAIADO, K. L.	Estudo da Adsorção dos Corantes Alimentícios, Verde Rápido e Vermelho Eritrosina, com o uso de Nanocompósito Magnético #61543;-Fe2O3/Carvão Ativado	2017	Simpósio de Pesquisa, Ensino e Extensão - SIMPEEX. (Simposio)		
{18}		ARAUJO, V. K. A.; ALMEIDA, S.; DE OLIVEIRA, S. B.; CALIXTO, W.; FURRIEL, G. P.; BARBOSA, D. P.	Anaerobic digestion using residue of soybean processing: biogas production and it is potential to generate energy	2017	18th International Scientific Conference on Electric Power Engineering (EPE 2017). (Congresso)		
{18}		BALEEIRO, F.; OLIVEIRA, S. B.; BARROS, K.; OTHONI, L.; NATAL, B.; XAVIER, M.	ESTUDO CINÉTICO DA ADSORÇÃO DE CORANTE TARTRAZINA PELO AGAÇO DE CANA TRATADO HIDROTERMICAMENTE EM PRESENÇA DE GLICEROL BRUTO EM PH ÁCIDO E ALCALINO	2017	57º Congresso Brasileiro de Química. (Congresso)		
{2}		BEZERRA, C. D. S.; CALIXTO, W. P.; REIS, M. R. C.; BEZERRA, C. A. V.; ALVES, A. J.	Optimization of the Operation Power of DC-DC Converters Applied to Thermogenerators	2017	18th International Scientific Conference on Electric Power Engineering (EPE). (Congresso)		
{5}		CREMON, E. H.; ROSSETTI, D.	Morphodynamics and Anabranching Pattern of Branco River - Northern Amazonia	2017	9th International Conference on Geomorphology. (Conferencia)		
{17}		CUNHA, L. M. P.; ARAUJO, H. C. M. P.; FELIX, F. A.; FELIX, S. A. A.; DA FONSECA, R. C.	CURVAS CÔNICAS E SUAS APLICAÇÕES EM PROBLEMAS DE TRAJETÓRIAS USANDO O SOFTWARE GEOGEBRA	2017	III Congresso de Ciência e Tecnologia da PUC Goiás. (Congresso)		
{14}		DOMINGOS, J. L.	Eficiência Energética e Geração Distribuída no Contexto das Energias Renováveis	2017	IV Semana de Engenharia do Departamento de Áreas Acadêmicas IV do Campus Goiãnia da do IFG. (Conferencia)		
{17}		FELIX, F. A.; FELIX, S. A. A.; CUNHA, L. M. P.; ARAUJO, H. C. M. P.; DA FONSECA, R. C.	FUNÇÕES SENO E COSSENO E SUAS RELAÇÕES NOS MCU E MHS USANDO O SOFTWARE GEOGEBRA	2017	III Congresso de Ciência e Tecnologia da PUC Goiás 2017. (Congresso)		
{17}		FERREIRA, F. C. O.; OLIVEIRA, M. M.; DA FONSECA, R. C.	Modelagem Matemática das equações que descrevem as Superfícies Quádricas Centradas com o recurso do software GeoGebra	2017	Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{2}		FERREIRA, L. G. G. B.; DOMINGOS, J. L.; ALVES, A. J.; CALIXTO, W. P.; DOMINGOS, E. G.; LIMA, R. A.	Wind´s actions effects on photovoltaic panels installed on rooftop of buildings	2017	18th International Scientific Conference on Electric Power Engineering (EPE). (Congresso)		
{2}		LEOVIR, C. A.; MAGALHAES, A. S.; SILVA, A. H. F.; CALIXTO, W. P.; ALVES, A. J.; MATIAS, C. A.; DOMINGOS, E. G.; DOMINGOS, J. L.	Attenuation methodology for torque oscillation in synchronous machine	2017	URUCON 2017. (Congresso)		
{2}		LEOVIR, C. A.; MAGALHAES, A. S.; SILVA, A. H. F.; CALIXTO, W. P.; ALVES, A. J.; MATIAS, C. A.; DOMINGOS, E. G.; DOMINGOS, J. L.	AC components insertion into rotor of synchronous generator for damping of harmonics on current in bar	2017	URUCON 2017. (Congresso)		
{7}		NETO CAMP, V. G.; SA, F. P.	Reaproveitamento de Águas Plúviais	2017	I Mostra Científica - III Simpósio de Educação, Tecnologia e Sociedade. (Outra)		
{4}		NETO PINHEI, D.; DOMINGUES, E. G.; ALVES, A. J.; CALIXTO, W. P.	Investment Risk Analysis for Small Hydro Power Plants in the Short Term Market in Brazil	2017	IEEE Chilecon. (Congresso)		
{17}		OLIVEIRA, M. M.; SOUZA, C. R.; DA FONSECA, R. C.	MODELAGEM MATEMÁTICA DAS EQUAÇÕES QUE DESCREVEM AS SUPERFÍCIES QUÁDRICAS NÃO CENTRADAS COM O RECURSO DOS SOFTWARES GEOGEBRA E MAPLE	2017	Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{18}		OLIVEIRA, S. B.	Produção de Bioenergia a partir de resíduos	2017	I Encontro Regional da Sociedade Brasileira de Química ? Centro-Oeste. (Conferencia)		
{18}		OLIVEIRA, S. B.; BARBOSA, D. P.; CUNHA, K. C.	PRODUÇÃO DE BIOGAS A PARTIR DA MISTURA DE LODO GERADO EM INDÚSTRIA ALIMENTÍCIA E DO GLICEROL BRUTO PROVENIENTE DA FABRICAÇÃO DE BIODIESEL	2017	V Simpósio Internacional sobre gerenciamento de resíduos agropecuários e agroindustriais. (Simposio)		
{18}		PACHECO, R. V.; GORETE, M. E.; SUZUKI, L.; BRUM, S. S.; OLIVEIRA, S. B.	MATERIAIS CARBONÁCEOS OBTIDOS A PARTIR DA CARBONIZAÇÃO HIDROTÉRMICA DE ESPÉCIES DO TIPO MAGONIA PUBESCENS (TINGUI) E SUA AVALIAÇÃO EM PROCESSOS DE ADSORÇÃO	2017	VII CONGRESSO BRASILEIRO DE CARBONO. (Congresso)		
{17}		QUEIROZ, L. L. M.; QUEIROZ, M. L. M.; DA FONSECA, R. C.	ESTUDO SOBRE AS TRELIÇAS APLICADO À ENGENHARIA DE TRANSPORTES	2017	Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{18}		RAMOS, I. M. A.; FARIAS, F. P.; FARIA, S. P.; SANTIAGO, M. F.; OLIVEIRA, S. B.	Pré-Tratamento ENZIMÁTICO DE cana energia para Produção de Biogás	2017	X Encontro Nacional de Tecnologia Química. (Outra)		
{18}		RAMOS, I. M. A.; SANTIAGO, M. F.; FARIAS, F. P.; OLIVEIRA, S. B.; FARIA, S. P.	PRÉTRATAMENTO ENZIMÁTICO DE CANA ENERGIA PARA OBTENÇÃO DE BIOGÁS	2017	X ENCONTRO NACIONAL DE TECNOLOGIA QUÍMICA. (Congresso)		
{7}		RODRIGUES, H. O.; SA, F. P.; BORGES, E. C. L.	Estudo de Adsorção do Corante Alimentício, Azul Brilhante, de Soluções Aquosas com o uso de Hidróxido Duplo Lamelar (HDL)	2017	Simpósio de Pesquisa, Ensino e Extensão - SIMPEEX. (Simposio)		
{7}		SA, F. P.; BORGES, E. C. L.; GARCIA, R. M.	Photodegradation of Food Dye, Red 40, Using Ultraviolet Radiation	2017	10th World Congress of Chemical Engineering. (Congresso)		
{7}		SANTOS, G. L. S.; SA, F. P.	Energia Limpa: Motor de Stirling	2017	I Mostra Científica - III Simpósio de Educação, Tecnologia e Sociedade. (Outra)		
{2}		SANTOS, L. M.; ALVES, A. J.; SALLES, D. M.; MATIAS, C. A.; DOMINGOS, J. L.; DOMINGUES, E. G.; CALIXTO, W. P.	Technical Analysis of the application of water in the improvement of the electrical efficiency in photovoltaic panels	2017	URUCON 2017. (Congresso)		
{7}		SANTOS, M. G. S.; GARCIA, R. Q.; SA, F. P.	A Influência das Poluições, Atmosférica e Luminosa, nas Observações Astronômicas	2017	Simpósio de Pesquisa, Ensino e Extensão ? SIMPEEX. (Simposio)		
{7}		SILVA, M. A. L. A.; RODRIGUES, H. O.; SA, F. P.	Filtro Magnético Dinâmico	2017	I Mostra Científica - III Simpósio de Educação, Tecnologia e Sociedade. (Outra)		
{7}		SILVA, M. A. L. A.; SA, F. P.	Adsorção por Nanocompósitos Magnéticos Lamelares #61543;-Fe2o3/HDL, do Corante Alimentício, Vermelho Bordeuax	2017	Simpósio de Pesquisa, Ensino e Extensão ? SIMPEEX. (Simposio)		
{18}		SILVA, T. S. R.; ALMEIDA, S.; OLIVEIRA, S. B.; COELHO, W. B.; LIMA, W.; GOMES, R. A. M.	Estudo da composição de biogás gerado a partir da cana-de-açucar como biomassa em reatores de fluxo semi-contínuo	2017	V Simpósio Internacional sobre gerenciamento de resíduos agropecuários e agroindustriais. (Simposio)		
{12}		SOUSA, G. A.; ZANG, J. W.; LEANDRO, W. M.; LEITE, A. F.; DA SILVA, S. V.; DA FONSECA-ZANG, W. A.	Study of Implementation of Biogas Production in the Fruits and Vegetables Wholesale CEASA-GO, Goiás, Brazil	2017	Tropentag 2017. (Conferencia)		
{17}		SOUZA, F. F.; SOUZA, D. B.; ROSA, Y. F.; DA FONSECA, R. C.	UM ESTUDO DO DÍODO EMISSOR DE LUZ (LED) E SUAS APLICAÇÕES FÍSICAS NAS ENGENHARIAS	2017	Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{2}		TSURUDA, L. K.; VITOR, L. R.; SALLES, D. M.; SOUZA, M. B. S. E.; ALVES, A. J.; RODRIGUES, L.; CALIXTO, W. P.	Energy efficiency,rationalization of energy and water consumption, in popular houses	2017	18th International Scientific Conference on Electric Power Engineering (EPE). (Congresso)		
{2}		ALVES, A. J.; FURRIEL, G. P.; CALIXTO, W. P.; GODOI, F. F. F.; SILVA, J. R. S.; PROFETA, F. A.; DOMINGOS, J. L.	Geoelectrical Method to Obtain 3D Maps for Distribution of Fertilizer in the Soil	2016	16 IEEE International Conference on Environment and Electrical Engineering (EEEIC 2016)quot;. (Congresso)		
{18}		ANTUNES, G. G. B.; SOBRINHO, T. S.; OLIVEIRA, B. A.; DE OLIVEIRA, S. B.; CASTRO, T. C.; MARCOS, R. V.	Fotodegradação Catalítica de Cristal Violeta em Reator piloto descontínuo de escoamento pistonado	2016	11º Encontro Nacional de Catálise N/NE/DF. (Simposio)		
{21}		DA FONSECA-ZANG, W. A.	Workshop de doutores do Reino Unido e do Brasil tema: agua, saneamento e energia conexa	2016	Workshop de doutores - Researcher Links - Newton Fund. (Outra)		
{15}		MARQUES, E. M.; MOREIRA, S. J.; COSTA, J. J. L.; OLIVEIRA, L. N.	AVALIAÇÃO DOS NÍVEIS DE PRESSÃO SONORA NO PARQUE VACA BRAVA - GOIÂNIA, GOIÁS, BRASIL	2016	XXXIII Semana da Física. (Outra)		
{15}		MOREIRA, S. J.; COSTA, J. J. L.; OLIVEIRA, L. N.	AVALIAÇÃO DA POLUIÇÃO SONORA EM AMBIENTE EDUCACIONAL NA ZONA CENTRAL DE GOIÂNIA	2016	XXXIII Semana da Física. (Outra)		
{15}		SANTOS, D. A. M. D.; OLIVEIRA, F. L.; NASCIMENTO, E. O.; OLIVEIRA, L. N.	DETERMINAÇÃO DOS NÍVEIS DE PRESSÃO SONORA (NPS) ATRAVÉS DE EQUIPAMENTO MOBILE E SIMULAÇÃO COMPUTACIONAL	2016	XXXIII Semana da Física. (Outra)		
{12}		ZANG, J. W.	Cooperation for Sustainable development	2016	Low Carbon Business Action in Brazil - Biogas and Biomethane. (Outra)		
{12}		ZANG, J. W.	Produção de Biogas no Brasil	2016	ENTQUI - 9o Encontro Nacional de Tecnologia Química. (Conferencia)		
{18}		CARVALHO, L. L.; SANTANA, I. M.; DE OLIVEIRA, S. B.; COLMATI, F. J.	Síntese de Polianilina a partir de anailina por método eletroquímico em eletrodo de aço inoxdável AISI 304	2015	Pós Graduação em Química realiza 1º Workshop. (Seminario)		
{18}		COLMATI, F. J.; OLIVEIRA, S. B.	Síntese de polímeros condutores nano-estruturados à base de polianilina/polipirrol para aplicação em prótese corpórea	2015	9 ° SIMPEX do IFG. (Seminario)		
{15}		DINIZ, G. C.; OLIVEIRA, F. L.; OLIVEIRA, L. N.	Avaliação de um 'website' para auxilio no ensino de Física	2015	2 Semana de Física do IFG. (Comunicacao)		
{2}		FARIA, M. A. A.; STECANELLA, P. A. J.; ALVES, A. J.; DOMINGUES, E. G.; GOMES, P. H. G.; CALIXTO, W. P.	Modeling, simulation and control of a Thermoelectric Generator	2015	15th IEEE International Conference on Environment and Electrical Engineering. (Congresso)		
{2}		FURRIEL, G. P.; CALIXTO, W. P.; ALVES, A. J.; FILHO SILV, A. M.; OLIVEIRA, S. G. M.; DOMINGOS, J. L.; DOMINGOS, E. G.	Automatic Instrument for Measuring Soil Penetration Resistance	2015	IEEE Chilecon 2015. (Congresso)		
{2}		GOMES, P. H. G.; CALIXTO, W. P.; ALVES, A. J.; STECANELLA, P. A. J.; FARIA, M. A. A.; DOMINGOS, E. G.	Optimized exhaust duct applied in thermoelectric waste heat recovery system	2015	23rd ABCM International Congress of Mechanical Engineering- COBEM 2015. (Congresso)		
{18}		KCGS, C.; IM, S.; CARVALHO, I.; OLIVEIRA, S. B.; COLMATI, F. J.	Sintese eletroquímica de copolímero condutor nanoestruturado à base de polianilina e polipirrol	2015	55° Congresso Brasileiro de Química. (Congresso)		
{18, 12}		COSTA, L. F. S.; LEANDRO, W. M.; ZANG, J. W.; FONSECA-ZANG, W.; LEITE, A. F.; OLIVEIRA, S. B.	Avaliação de potencial de produção de biometano a partir de resíduos da produção de açucar e etanol	2015	10° Congresso Internacional de Bioenergia. (Congresso)		
{18}		MELO, T. M.; BOTTLINGER, M.; LEANDRO, W. M.; OLIVEIRA, S. B.; SCHULZ, E.; RINKLEBE, J.; MUNIZ, M. P.; STRAHL, R.	Sewage sludge hydrocar as a potential fertilizer in crop plants in soil of the Brazilian savana	2015	Understanding biochar mechanisms for pratical implemantation. (Simposio)		
{15}		NASCIMENTO, E. O.; COSTA, R. G.; OLIVEIRA, L. N.	Evaluation of dose rate in intersticial brachytherapy for IR-192	2015	2 Semana de Física do IFG. (Comunicacao)		
{15}		NASCIMENTO, E. O.; OLIVEIRA, L. N.	Simulação numérica de escoamento numa cavidade 2D via equações de Navier-Stokes	2015	2 Semana de Física do IFG. (Comunicacao)		
{15}		OLIVEIRA, F. L.; OLIVEIRA, L. N.; PIRES, D. A. M.	A interdiciplinariedade no ensino de Física e Filosofia para o Ensino Médio:Criando pontes entre dois mundos	2015	2 Semana de Física do IFG. (Comunicacao)		
{15}		OLIVEIRA, F. L.; OLIVEIRA, L. N.; SOUSA, P. B.	Webquest como ferramenta no aprendizado de Física e Biologia	2015	2 Semana de Física do IFG. (Comunicacao)		
{15}		OLIVEIRA, R. A.; JUNIOR MORAIS, P. A.; OLIVEIRA, L. N.	Identificação das concepções dos estudantes de cursos técnicos sobre as atividades experimentais de ensino de Física	2015	2 Semana de Física do IFG. (Comunicacao)		
{18}		PACHECO, R. V.; DE OLIVEIRA, S. B.; BARBOSA, D. P.; BOTTLINGER, M.	Análise das Propriedades Estruturais e Químicas do Carvão Ativado Polimérico a partir de carbonização hidrotermal para aplicação como suporte de catalisador	2015	8º Encontro Nacional de Tecnologia Química. (Congresso)		
{18}		REZENDE, A. A.; OLIVEIRA, S. B.	Redução de espécies nitrato e nitrito em água potável sobre catalisadores de Ag-TiO2/Polianilina	2015	9º Workshop de Iniciação Científica. (Congresso)		
{12}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	German-Brazilian Cooperation Projects for Sustainable Development ? from Academy to Economy and Society	2015	3o Seminário Brasil-Alemanha de Inovação. (Simposio)		
{12}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	Brazilian-European cooperation projects for sustainable development ? biofuels based on sideproducts from sugar-cane processing.	2015	FAPESP ? BRAZIL-EU Workshop: Coordinated Call on Advanced Biofuels HORIZON2020. (Conferencia)		
{2}		ALVES, A. J.	Paradigmas da pesquisa científica	2014	Seminário de Iniciação científica. (Seminario)		
{2}		ALVES, A. J.	Fontes Alternativas de Energia Elétrica	2014	2a Semana de Engenharia e Tecnologia do Departamento IV. (Simposio)		
{18, 2}		ALVES, A. J.; ALMEIDA, C. A.; CALIXTO, W. P.; DOMINGUES, E. G.; ZANG, J. W.; OLIVEIRA, S. B.	Study of parameters for the design of a continous flow laboratory biogas reactor.	2014	INTERNATIONAL CONFERENCE ON RENEWABLE ENERGY AND POWER QUALITY. (Conferencia)		
{15}		NASCIMENTO, E. O.; OLIVEIRA, L. N.	Congresso de Engenharia e Tecnologia	2014	Congresso de Engenharia e Tecnologia. (Congresso)		
{18}		OLIVEIRA, S. B.	Tecnologias Sustentáveis na Área de Química	2014	Semana Meio Ambiente - Faculdade Araguaia. (Conferencia)		
{18}		OLIVEIRA, S. B.; CANDIDO, R.	Tecnologias de Processos Sustentáveis ?Profissional da Área de Meio Ambiente	2014	Semana Meio Ambiente - AGABRA. (Conferencia)		
{12}		ZANG, J. W.; FONSECA-ZANG, W.	Bioenergy in the Brazilian State of Goiás Situation and Perspectives	2014	PuresBIO e ASHES Pre-Kickoff-Meeting. (Conferencia)		
{2}		ALVES, A. J.; CALIXTO, W. P.; DOMINGUES, E. G.; ALVARENGA, B.; BARBOSA, J. L. F.	Pump Speed Control in Center Pivot Irrigation System - A pespective of Rationalization and Quality of Energy	2013	13th Spanish portuguese conference on electrical engineering 13CHLIE. (Conferencia)		
{8}		RIBEIRO, P. G.; CAPONI, A. P.; SCHIMIDT, F.; MENDONCA, D. F.	Produção de Biodiesel em laboratório: uma abordagem sistematizada e contextualizada com aplicação de minicurso	2013	65ª Reunião Anual da SBPC. (Congresso)		
{8}		SCHIMIDT, F.	Análise de parâmetros ambientais e quimicos em corpos hidricos	2013	7o. Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{8}		SCHIMIDT, F.	Análise de parâmetros fisico-quimicos e ambientais por PCA no Rio Meia Ponte em Goiás	2013	17º Encontro Nacional de Química Analítica. (Congresso)		
{12}		ZANG, J. W.; FONSECA-ZANG, W.	IFG in the State of Goiás in Brazil Situation and Perspectives	2013	iNopa Pre-Kickoff-Meeting. (Conferencia)		
{22}		CALIXTO, W. P.	Introdução ao Sistema a Eventos Discretos através de Ferramentas Computacionais	2012	. (Conferencia)		
{22}		CALIXTO, W. P.	Sistema a Eventos Discretos	2012	. (Conferencia)		
{22}		CALIXTO, W. P.	Secção Áurea: A Linguagem Matemática da Beleza	2012	II Seminário da Engenharia de Controle e Automação. (Conferencia)		
{22}		CALIXTO, W. P.	Métodos de Otimização Aplicados a Sistemas Reais: processo de otimização heurístico	2012	I Semana de Engenharia Elétrica do Instituto Unificado de Ensino Superior Objetivo. (Conferencia)		
{22}		CALIXTO, W. P.	Processos de Otimização Utilizando Heurísticas Modernas	2012	I WorkShop do Programa de Pós-Graduação em Engenharia de Sistemas Eletrônicos. (Conferencia)		
{22}		CALIXTO, W. P.	Otimização em Sistemas	2012	1ª Semana de Eletrônica e Telecomunicações. (Conferencia)		
{22}		CALIXTO, W. P.; ALVARENGA, B. P.; BRITO, L. C.; ALVES, A. J.; SOARES, M. G.; SILVA, F. R. A.; NETO MARTI, L.	Methodology for Tridimensional Geoelectrical Prospection	2012	IV Simpósio Brasileiro de Sistemas Elétricos ? IV SBSE. (Congresso)		
{18}		OLIVEIRA, S. B.; FERNANDES, I. L.; DA COSTA, O. S.; BARBOSA, D. P.	Redução Fotocatalítica de espécie nitrito em água sobre catalisador monometálico suportado em titânia	2012	6º Seminário de Iniciação Científica e Tecnologia e 2º Encontro do Programa Institucional de Bolsas de Iniciação à Docência do IFG. (Seminario)		
{8}		SCHIMIDT, F.	Análise de parâmetro ambientais e químicos em corpos hídricos	2012	6º SEMINÁRIO DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA. (Seminario)		
{12}		ZANG, J. W.; FONSECA-ZANG, W.; LEANDRO, W. M.; DE OLIVEIRA, S. B.	Biomethane Produced from Vinasse of Sugar Cane Based Ethanolproduction in Brazil	2012	3rd International CLIB-Conference. (Conferencia)		
